Booking ID,Provider Name,Service,City,Location,Time Slot,Base Rate,Contact,Status
P014-0200PM,Township Plumbing Experts,Plumber,Sukkur,Sukkur Township,02:00 PM,Rs. 900,+92 300 3003004,Confirmed
P021-0900AM,Ghanta Ghar AC & Cooling,AC Technician,Sukkur,Ghanta Ghar,09:00 AM,Rs. 1350,+92 300 3001006,Confirmed
P001-1000AM,Barrage Colony AC Experts,AC Technician,Sukkur,Barrage Colony,10:00 AM,Rs. 1500,+92 300 3001001,Confirmed
P006-1000AM,Barrage Colony Bijli Works,Electrician,Sukkur,Barrage Colony,10:00 AM,Rs. 1000,+92 300 3002001,Confirmed
P003-1000AM,Old Sukkur AC & Cooling,AC Technician,Sukkur,Old Sukkur,10:00 AM,Rs. 1800,+92 300 3001003,Confirmed
P017-1000AM,Old Sukkur Academy Tutors,Tutor,Sukkur,Old Sukkur,10:00 AM,Rs. 600,+92 300 3004002,ConfirmedP004-1000AM,Township AC Services,AC Technician,Sukkur,Sukkur Township,10:00 AM,Rs. 1400,+92 300 3001004,Confirmed
P004-1000AM,Township AC Services,AC Technician,Sukkur,Sukkur Township,10:00 AM,Rs. 1400,+92 300 3001004,Confirmed
P001-1000AM,Barrage Colony AC Experts,AC Technician,Sukkur,Barrage Colony,10:00 AM,Rs. 1500,+92 300 3001001,Confirmed
P021-1000AM,Ghanta Ghar AC & Cooling,AC Technician,Sukkur,Ghanta Ghar,10:00 AM,Rs. 1350,+92 300 3001006,Confirmed
P002-1000AM,Gharibabad Cool Tech,AC Technician,Sukkur,Gharibabad,10:00 AM,Rs. 1200,+92 300 3001002,Confirmed
P003-1000AM,Old Sukkur AC & Cooling,AC Technician,Sukkur,Old Sukkur,10:00 AM,Rs. 1800,+92 300 3001003,Confirmed
P005-1000AM,Military Road AC Technician,AC Technician,Sukkur,Military Road,10:00 AM,Rs. 1300,+92 300 3001005,Confirmed
P019-1000AM,Barrage Colony Home Nurses,Home Nurse,Sukkur,Barrage Colony,10:00 AM,Rs. 2000,+92 300 3005001,Confirmed
P005-1000AM,Military Road AC Technician,AC Technician,Sukkur,Military Road,10:00 AM,Rs. 1300,+92 300 3001005,Confirmed
P021-0900AM,Ghanta Ghar AC & Cooling,AC Technician,Sukkur,Ghanta Ghar,09:00 AM,Rs. 1350,+92 300 3001006,Confirmed
P013-0900AM,Old Sukkur Water Works,Plumber,Sukkur,Old Sukkur,09:00 AM,Rs. 750,+92 300 3003003,Confirmed
P024-1000AM,Site Area AC Technician,AC Technician,Sukkur,Site Area,10:00 AM,Rs. 1200,+92 300 3001007,Confirmed
P024-1000AM,Site Area AC Technician,AC Technician,Sukkur,Site Area,10:00 AM,Rs. 1200,+92 300 3001007,Confirmed
